
7-12-2022 2:16:38,disturber,63
7-12-2022 2:16:39,disturber,63
7-12-2022 2:16:39,disturber,63
7-12-2022 2:16:40,disturber,63
7-12-2022 2:16:41,disturber,63
7-12-2022 2:16:41,disturber,63
7-12-2022 2:16:42,disturber,63
7-12-2022 2:16:42,disturber,63
7-12-2022 2:16:42,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:44,disturber,63
7-12-2022 2:16:44,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:46,disturber,63
7-12-2022 2:16:47,disturber,63
7-12-2022 2:18:29,disturber,63
7-12-2022 2:18:39,disturber,63
7-12-2022 2:18:40,disturber,63
8-12-2022 15:48:47,76.5,101937.0,28.0
8-12-2022 15:49:2,76.3,101945.0,28.0
8-12-2022 15:49:17,76.1,101949.0,28.0
8-12-2022 15:49:32,75.8,101939.0,29.0
8-12-2022 15:49:47,75.5,101939.0,29.0
8-12-2022 15:50:2,75.4,101943.0,29.0
8-12-2022 15:50:17,75.2,101936.0,30.0
8-12-2022 15:50:32,75.1,101951.0,29.0
8-12-2022 15:50:47,74.9,101934.0,30.0
8-12-2022 15:51:2,74.8,101937.0,30.0
8-12-2022 15:51:17,74.7,101935.0,30.0
8-12-2022 15:51:32,74.7,101936.0,30.0
8-12-2022 15:51:47,74.6,101941.0,30.0
8-12-2022 15:52:2,74.5,101939.0,30.0
8-12-2022 15:52:17,74.5,101939.0,30.0
8-12-2022 15:52:32,74.5,101939.0,30.0
8-12-2022 15:52:47,74.5,101939.0,30.0
8-12-2022 15:53:2,74.4,101934.0,30.0
8-12-2022 15:53:17,74.4,101939.0,30.0
8-12-2022 15:53:32,74.3,101930.0,30.0
8-12-2022 15:53:47,74.3,101931.0,30.0
8-12-2022 15:54:2,74.3,101932.0,30.0
8-12-2022 15:54:17,74.3,101942.0,30.0
8-12-2022 15:54:32,74.3,101927.0,30.0
8-12-2022 15:54:47,74.3,101947.0,31.0
8-12-2022 15:55:2,74.2,101930.0,31.0
8-12-2022 15:55:17,74.1,101932.0,31.0
8-12-2022 15:55:32,74.0,101929.0,31.0
8-12-2022 15:55:47,74.0,101926.0,31.0
8-12-2022 15:56:3,73.9,101929.0,31.0
8-12-2022 15:56:18,73.9,101927.0,31.0
8-12-2022 15:56:33,73.8,101919.0,31.0
8-12-2022 15:56:48,73.7,101932.0,31.0
8-12-2022 15:57:3,73.7,101928.0,31.0
8-12-2022 15:57:18,73.6,101924.0,31.0
8-12-2022 15:57:33,73.6,101927.0,31.0
8-12-2022 15:57:48,73.6,101924.0,31.0
8-12-2022 15:58:3,73.6,101930.0,31.0
8-12-2022 15:58:18,73.6,101920.0,31.0
8-12-2022 15:58:33,73.5,101927.0,31.0
8-12-2022 15:58:48,73.5,101927.0,31.0
8-12-2022 15:59:3,73.5,101929.0,31.0
8-12-2022 15:59:18,73.5,101919.0,31.0
8-12-2022 15:59:33,73.5,101932.0,31.0
8-12-2022 15:59:48,73.5,101928.0,31.0
8-12-2022 16:0:3,73.5,101932.0,31.0
8-12-2022 16:0:18,73.4,101938.0,31.0
8-12-2022 16:0:33,73.4,101925.0,31.0
8-12-2022 16:0:48,73.4,101933.0,31.0
8-12-2022 16:1:3,73.4,101936.0,31.0
8-12-2022 16:1:18,73.5,101932.0,31.0
8-12-2022 16:1:33,73.5,101937.0,31.0
8-12-2022 16:1:48,73.5,101923.0,31.0
8-12-2022 16:2:3,73.5,101932.0,31.0
8-12-2022 16:2:18,73.5,101935.0,31.0
8-12-2022 16:2:33,73.4,101928.0,31.0
8-12-2022 16:2:48,73.4,101932.0,32.0
8-12-2022 16:3:3,73.4,101937.0,31.0
8-12-2022 16:3:18,73.3,101939.0,32.0
8-12-2022 16:3:33,73.3,101930.0,32.0
8-12-2022 16:3:48,73.3,101936.0,31.0
8-12-2022 16:4:3,73.3,101932.0,32.0
8-12-2022 16:4:18,73.3,101935.0,31.0
8-12-2022 16:4:33,73.2,101933.0,32.0
8-12-2022 16:4:48,73.2,101934.0,32.0
8-12-2022 16:5:3,73.2,101933.0,32.0
8-12-2022 16:5:18,73.2,101938.0,32.0
8-12-2022 16:5:33,73.1,101935.0,32.0
8-12-2022 16:5:48,73.1,101943.0,32.0
8-12-2022 16:6:3,73.1,101935.0,32.0
8-12-2022 16:6:18,73.2,101932.0,32.0
8-12-2022 16:6:33,73.2,101938.0,32.0
8-12-2022 16:6:48,73.2,101935.0,32.0
8-12-2022 16:7:3,73.2,101946.0,32.0
8-12-2022 16:7:18,73.2,101938.0,32.0
8-12-2022 16:7:33,73.2,101941.0,32.0
8-12-2022 16:7:48,73.2,101940.0,34.0
8-12-2022 16:8:3,73.2,101936.0,32.0
8-12-2022 16:8:18,73.2,101939.0,31.0
8-12-2022 16:8:33,73.3,101935.0,32.0
8-12-2022 16:8:48,73.3,101941.0,32.0
8-12-2022 16:9:3,73.3,101940.0,32.0
8-12-2022 16:9:18,73.3,101934.0,32.0
8-12-2022 16:9:33,73.3,101941.0,32.0
8-12-2022 16:9:48,73.3,101936.0,32.0
8-12-2022 16:10:3,73.3,101931.0,32.0
8-12-2022 16:10:18,73.3,101936.0,32.0
8-12-2022 16:10:33,73.3,101933.0,32.0
8-12-2022 16:10:48,73.3,101932.0,32.0
8-12-2022 16:11:3,73.4,101937.0,32.0
8-12-2022 16:11:18,73.4,101939.0,32.0
8-12-2022 16:11:33,73.4,101935.0,32.0
8-12-2022 16:11:49,73.5,101938.0,32.0
